,Job_id,Company,Experience,Salary,Location,Job_link,Skillset,Posted
0,091221000546,Kyndryl,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",https://www.naukri.com/kyndryl-jobs-careers-6057094,"['Jira', 'data warehousing', 'DevOps', 'data integration', 'data analysis', 'Travis', 'Agile CI', 'Azure']",HOT JOB
1,170122501709,Verizon,2-6 Yrs,Not disclosed,Hyderabad/Secunderabad,https://www.naukri.com/verizon-jobs-careers-515323,"['RCA', 'deep learning', 'Data analysis', 'SMO', 'data science', 'Machine learning', 'Cloud', 'data visualization']",PREMIUM
2,130122500318,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram,https://www.naukri.com/findoc-finvest-jobs-careers-5025798,"['IT Skills', 'Java', 'Machine Learning', 'Javascript', 'Text mining', 'Google Analytics', 'Simulation', 'Coding']",10 Days Ago
3,190122500257,Kennametal,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,https://www.naukri.com/kennametal-jobs-careers-620683,"['Data Science', 'Predictive Modeling', 'R', 'Data Scientist', 'Advanced Analytics', 'Neural Networks', 'Data Analytics', 'Machine Learning']",4 Days Ago
4,170122010349,Sitel,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)(WFH during Covid)",https://www.naukri.com/sitel-jobs-careers-278795,"['Data Science', 'DataBricks', 'Azure', 'R Shiny', 'Python']",PREFERRED
5,170122002454,GlobalData,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur)(WFH during Covid),https://www.naukri.com/globaldata-jobs-careers-610735,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Pytorch', 'Tensorflow', 'NLP', 'Xgboost']",PREMIUM
6,170122501707,Verizon,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,https://www.naukri.com/verizon-jobs-careers-515323,"['RCA', 'deep learning', 'Data analysis', 'SMO', 'data science', 'Machine learning', 'Cloud', 'data visualization']",PREMIUM
7,200122002123,Onward Technologies Limited,6-9 Yrs,"12,00,000 - 18,00,000 PA.",Bangalore/Bengaluru,https://www.naukri.com/onward-technologies-jobs-careers-992732,"['Python', 'Azure', 'PowerBI', 'Analytical', 'ADF', 'Databricks', 'ADLS', 'IT Skills']",PREMIUM
8,220321908270,Carbynetech India,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,https://www.naukri.com/premium-jobs-jobs-careers-678662,"['Data Science', 'NLP', 'Neural Networks', 'Deep Learning', 'Python']",PREMIUM
9,210122008252,Smart Cube,8-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",https://www.naukri.com/smart-cube-jobs-careers-21599,"['NLP', 'Machine Learning', 'Deep Learning', 'Data Science', 'Advanced Analytics', 'Statistical Modeling', 'Data Visualization', 'Gephi']",PREMIUM
10,170122910672,GSK India,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,https://www.naukri.com/gsk-india-jobs-careers-16369,"['Power BI', 'Power Apps', 'Python', 'Azure Data Factory', 'R', 'Analysis Services', 'Streamsets', 'Azure Data Lake']",HOT JOB
11,230122001615,ConsultTrinity Services Private Limited,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,https://www.naukri.com/consulttrinity-services-jobs-careers-3911280,"['IT Skills', 'Python', 'Machine Learning', 'Jenkins', 'Tableau', 'Pytorch', 'Tensorflow', 'NLP']",HOT JOB
